HCPCS,MOD,DESCRIPTION,WORK RVU
A7010,,Disposable corrugated tubing,0.00
A7012,,Nebulizer water collec devic,0.00
A7013,,Disposable compressor filter,0.00
A7014,,Compressor nondispos filter,0.00
A7015,,Aerosol mask used w nebulize,0.00
A7016,,Nebulizer dome & mouthpiece,0.00
A7017,,Nebulizer not used w oxygen,0.00
A7018,,Water distilled w/nebulizer,0.00
A7020,,"Interface, cough stim device",0.00
A7021,,Suppl and access lung expan,0.00
A7023,,Mech allergen parti barrier,0.00
A7025,,Replace chest compress vest,0.00
A7026,,Replace chst cmprss sys hose,0.00
A7027,,Combination oral/nasal mask,0.00
A7028,,Repl oral cushion combo mask,0.00
A7029,,Repl nasal pillow comb mask,0.00
A7030,,Cpap full face mask,0.00
A7031,,Replacement facemask interfa,0.00
A7032,,Replacement nasal cushion,0.00
A7033,,Replacement nasal pillows,0.00
A7034,,Nasal application device,0.00
A7035,,Pos airway press headgear,0.00
A7036,,Pos airway press chinstrap,0.00
A7037,,Pos airway pressure tubing,0.00
A7038,,Pos airway pressure filter,0.00
A7039,,"Filter, non disposable w pap",0.00
A7040,,One way chest drain valve,0.00
A7041,,Water seal drain container,0.00
A7044,,Pap oral interface,0.00
A7045,,Repl exhalation port for pap,0.00
A7046,,"Repl water chamber, pap dev",0.00
A7047,,Resp suction oral interface,0.00
A7048,,Vacuum drain bottle/tube kit,0.00
A7049,,Epap nasal valve,0.00
A7501,,Tracheostoma valve w diaphra,0.00
A7502,,Replacement diaphragm/fplate,0.00
A7503,,Hmes filter holder or cap,0.00
A7504,,Tracheostoma hmes filter,0.00
A7505,,Hmes or trach valve housing,0.00
A7506,,Hmes/trachvalve adhesivedisk,0.00
A7507,,Integrated filter & holder,0.00
A7508,,Housing & integrated adhesiv,0.00
A7509,,Heat & moisture exchange sys,0.00
A7520,,Trach/laryn tube non-cuffed,0.00
A7521,,Trach/laryn tube cuffed,0.00
A7522,,Trach/laryn tube stainless,0.00
A7523,,Tracheostomy shower protect,0.00
A7524,,Tracheostoma stent/stud/bttn,0.00
A7525,,Tracheostomy mask,0.00
A7526,,Tracheostomy tube collar,0.00
A7527,,Trach/laryn tube plug/stop,0.00
A8000,,Soft protect helmet prefab,0.00
A8001,,Hard protect helmet prefab,0.00
A8002,,Soft protect helmet custom,0.00
A8003,,Hard protect helmet custom,0.00
A8004,,"Repl soft interface, helmet",0.00
A9150,,Misc/exper non-prescript dru,0.00
A9152,,Single vitamin nos,0.00
A9153,,Multi-vitamin nos,0.00
A9155,,Artificial saliva,0.00
A9156,,Oral mucoadhesive per 1 ml,0.00
A9180,,"Lice treatment, topical",0.00
A9268,,Programmer orally ingest cap,0.00
A9269,,Programable ingest capsule,0.00
A9270,,Non-covered item or service,0.00
A9272,,"Disp wound suct, drsg/access",0.00
A9273,,Hot/cold botle/cap/col/wrap,0.00
A9274,,Ext amb insulin delivery sys,0.00
A9275,,Disp home glucose monitor,0.00
A9276,,"Disposable sensor, cgm sys",0.00
A9277,,"External transmitter, cgm",0.00
A9278,,"External receiver, cgm sys",0.00
A9279,,Monitoring feature/devicenoc,0.00
A9280,,"Alert device, noc",0.00
A9281,,Reaching/grabbing device,0.00
A9282,,Wig any type,0.00
A9283,,Foot press off load supp dev,0.00
A9284,,Non-electronic spirometer,0.00
A9285,,Inversion eversion cor devic,0.00
A9286,,"Any hygienic item, device",0.00
A9291,,Pres dig cog behav thera fda,0.00
A9292,,Pres dig visual therapy fda,0.00
A9293,,Fertility cycl tracking soft,0.00
A9300,,Exercise equipment,0.00
A9500,,Tc99m sestamibi,0.00
A9501,,Technetium tc-99m teboroxime,0.00
A9502,,Tc99m tetrofosmin,0.00
A9503,,Tc99m medronate,0.00
A9504,,Tc99m apcitide,0.00
A9505,,Tl201 thallium,0.00
A9506,,Tc-99m graphite crucible,0.00
A9507,,In111 capromab,0.00
A9508,,"I131 iodobenguate, dx",0.00
A9509,,Iodine i-123 sod iodide mil,0.00
A9510,,Tc99m disofenin,0.00
A9512,,Tc99m pertechnetate,0.00
A9513,,Lutetium lu 177 dotatat ther,0.00
A9515,,Choline c-11,0.00
A9516,,Iodine i-123 sod iodide mic,0.00
A9517,,"I131 iodide cap, rx",0.00
A9520,,Tc99 tilmanocept diag 0.5mci,0.00
A9521,,Tc99m exametazime,0.00
A9524,,"I131 serum albumin, dx",0.00
A9526,,Nitrogen n-13 ammonia,0.00
A9527,,Iodine i-125 sodium iodide,0.00
A9528,,"Iodine i-131 iodide cap, dx",0.00
A9529,,"I131 iodide sol, dx",0.00
A9530,,"I131 iodide sol, rx",0.00
A9531,,I131 max 100uci,0.00
A9532,,"I125 serum albumin, dx",0.00
A9536,,Tc99m depreotide,0.00
A9537,,Tc99m mebrofenin,0.00
A9538,,Tc99m pyrophosphate,0.00
A9539,,Tc99m pentetate,0.00
A9540,,Tc99m maa,0.00
A9541,,Tc99m sulfur colloid,0.00
A9542,,"In111 ibritumomab, dx",0.00
A9543,,"Y90 ibritumomab, rx",0.00
A9546,,Co57/58,0.00
A9547,,In111 oxyquinoline,0.00
A9548,,In111 pentetate,0.00
A9550,,Tc99m gluceptate,0.00
A9551,,Tc99m succimer,0.00
A9552,,F18 fdg,0.00
A9553,,Cr51 chromate,0.00
A9554,,"I125 iothalamate, dx",0.00
A9555,,Rb82 rubidium,0.00
A9556,,Ga67 gallium,0.00
A9557,,Tc99m bicisate,0.00
A9558,,Xe133 xenon 10mci,0.00
A9559,,Co57 cyano,0.00
A9560,,Tc99m labeled rbc,0.00
A9561,,Tc99m oxidronate,0.00
A9562,,Tc99m mertiatide,0.00
A9563,,P32 na phosphate,0.00
A9564,,P32 chromic phosphate,0.00
A9566,,Tc99m fanolesomab,0.00
A9567,,Technetium tc-99m aerosol,0.00
A9568,,Technetium tc99m arcitumomab,0.00
A9569,,Technetium tc-99m auto wbc,0.00
A9570,,Indium in-111 auto wbc,0.00
A9571,,Indium in-111 auto platelet,0.00
A9572,,Indium in-111 pentetreotide,0.00
A9573,,"Inj, gadopiclenol, 1 ml",0.00
A9575,,Inj gadoterate meglumi 0.1ml,0.00
A9576,,Inj prohance multipack,0.00
A9577,,Inj multihance,0.00
A9578,,Inj multihance multipack,0.00
A9579,,"Gad-base mr contrast nos,1ml",0.00
A9580,,Sodium fluoride f-18,0.00
A9581,,Gadoxetate disodium inj,0.00
A9582,,Iodine i-123 iobenguane,0.00
A9583,,Gadofosveset trisodium inj,0.00
A9584,,Iodine i-123 ioflupane,0.00
A9585,,Gadobutrol injection,0.00
A9586,,Florbetapir f18,0.00
A9587,,Gallium ga-68,0.00
A9588,,Fluciclovine f-18,0.00
A9589,,Insti hexaminolevulinate hcl,0.00
A9590,,Iodine i-131 iobenguane 1mci,0.00
A9591,,Fluoroestradiol f 18,0.00
A9592,,Copper cu 64 dotatate diag,0.00
A9593,,Gallium ga-68 psma-11 ucsf,0.00
A9594,,"Gallium ga-68 psma-11, ucla",0.00
A9595,,"Piflu f-18, dia 1 millicurie",0.00
A9596,,Gallium illuccix 1 millicure,0.00
A9597,,"Pet, dx, for tumor id, noc",0.00
A9598,,"Pet dx for non-tumor id, noc",0.00
A9600,,Sr89 strontium,0.00
A9601,,Flortaucipir inj 1 millicuri,0.00
A9602,,Fluorodopa f-18 diag per mci,0.00
A9603,,"Inj, pafolacianine, 0.1 mg",0.00
A9604,,Sm 153 lexidronam,0.00
A9606,,Radium ra223 dichloride ther,0.00
A9607,,Lutetium lu 177 vipivotide,0.00
A9608,,Flotufolastat f18 diag 1 mci,0.00
A9609,,"F18 fdg, 15 millicuries",0.00
A9610,,"Xe129 xenon, diagnostic",0.00
A9615,,"Inj, pegulicianine, 1 mg",0.00
A9697,,"Inj, magtrace per study dose",0.00
A9698,,Non-rad contrast materialnoc,0.00
A9699,,Radiopharm rx agent noc,0.00
A9700,,Echocardiography contrast,0.00
A9800,,Gallium locametz 1 millicuri,0.00
A9900,,Supply/accessory/service,0.00
A9901,,Delivery/set up/dispensing,0.00
A9999,,"Dme supply or accessory, nos",0.00
D0120,,Periodic oral evaluation,0.00
D0140,,Limit oral eval problm focus,0.00
D0145,,"Oral evaluation, pt < 3yrs",0.00
D0150,,Comprehensve oral evaluation,0.00
D0160,,Extensv oral eval prob focus,0.00
D0170,,"Re-eval,est pt,problem focus",0.00
D0171,,Re-eval post-op visit,0.00
D0180,,Comp periodontal evaluation,0.00
D0190,,Screening of a patient,0.00
D0191,,Assessment of a patient,0.00
D0210,,Intraor comprehensive series,0.00
D0210,TC,Intraor comprehensive series,0.00
D0210,26,Intraor comprehensive series,0.00
D0220,,Intraoral periapical first,0.00
D0220,TC,Intraoral periapical first,0.00
D0220,26,Intraoral periapical first,0.00
D0230,,Intraoral periapical ea add,0.00
D0230,TC,Intraoral periapical ea add,0.00
D0230,26,Intraoral periapical ea add,0.00
D0240,,Intraoral occlusal film,0.00
D0240,TC,Intraoral occlusal film,0.00
D0240,26,Intraoral occlusal film,0.00
D0250,,Extraoral 2d project image,0.00
D0250,TC,Extraoral 2d project image,0.00
D0250,26,Extraoral 2d project image,0.00
D0251,,Extraoral posterior image,0.00
D0251,TC,Extraoral posterior image,0.00
D0251,26,Extraoral posterior image,0.00
D0270,,Dental bitewing single image,0.00
D0270,TC,Dental bitewing single image,0.00
D0270,26,Dental bitewing single image,0.00
D0272,,Dental bitewings two images,0.00
D0272,TC,Dental bitewings two images,0.00
D0272,26,Dental bitewings two images,0.00
D0273,,Bitewings - three images,0.00
D0273,TC,Bitewings - three images,0.00
D0273,26,Bitewings - three images,0.00
D0274,,Bitewings four images,0.00
D0274,TC,Bitewings four images,0.00
D0274,26,Bitewings four images,0.00
D0277,,Vert bitewings 7 to 8 images,0.00
D0277,TC,Vert bitewings 7 to 8 images,0.00
D0277,26,Vert bitewings 7 to 8 images,0.00
D0310,,Dental saliography,0.00
D0310,TC,Dental saliography,0.00
D0310,26,Dental saliography,0.00
D0320,,Dental tmj arthrogram incl i,0.00
D0320,TC,Dental tmj arthrogram incl i,0.00
D0320,26,Dental tmj arthrogram incl i,0.00
D0321,,Other tmj images by report,0.00
D0321,TC,Other tmj images by report,0.00
D0321,26,Other tmj images by report,0.00
D0322,,Dental tomographic survey,0.00
D0322,TC,Dental tomographic survey,0.00
D0322,26,Dental tomographic survey,0.00
D0330,,Panoramic image,0.00
D0330,TC,Panoramic image,0.00
D0330,26,Panoramic image,0.00
D0340,,2d cephalometric image,0.00
D0340,TC,2d cephalometric image,0.00
D0340,26,2d cephalometric image,0.00
D0350,,Oral/facial photo images,0.00
D0350,TC,Oral/facial photo images,0.00
D0350,26,Oral/facial photo images,0.00
D0364,,Cone beam ct capt & interp,0.00
D0364,TC,Cone beam ct capt & interp,0.00
D0364,26,Cone beam ct capt & interp,0.00
D0365,,Cone beam ct interprete man,0.00
D0365,TC,Cone beam ct interprete man,0.00
D0365,26,Cone beam ct interprete man,0.00
D0366,,Cone beam ct interprete max,0.00
D0366,TC,Cone beam ct interprete max,0.00
D0366,26,Cone beam ct interprete max,0.00
D0367,,Cone beam ct interp both jaw,0.00
D0367,TC,Cone beam ct interp both jaw,0.00
D0367,26,Cone beam ct interp both jaw,0.00
D0368,,Cone beam ct interprete tmj,0.00
D0368,TC,Cone beam ct interprete tmj,0.00
D0368,26,Cone beam ct interprete tmj,0.00
D0369,,Max mri capture & interprete,0.00
D0369,TC,Max mri capture & interprete,0.00
D0369,26,Max mri capture & interprete,0.00
D0370,,Max ultrasound capt & interp,0.00
D0370,TC,Max ultrasound capt & interp,0.00
D0370,26,Max ultrasound capt & interp,0.00
D0371,,Sialoendoscopy capt & interp,0.00
D0371,TC,Sialoendoscopy capt & interp,0.00
D0371,26,Sialoendoscopy capt & interp,0.00
D0372,,Tomo comp series images,0.00
D0372,TC,Tomo comp series images,0.00
D0372,26,Tomo comp series images,0.00
D0373,,Tomo bitewing image,0.00
D0373,TC,Tomo bitewing image,0.00
D0373,26,Tomo bitewing image,0.00
D0374,,Tomo periapical image,0.00
D0374,TC,Tomo periapical image,0.00
D0374,26,Tomo periapical image,0.00
D0380,,Cone beam ct capture limited,0.00
D0380,TC,Cone beam ct capture limited,0.00
D0380,26,Cone beam ct capture limited,0.00
D0381,,Cone beam ct capt mandible,0.00
D0381,TC,Cone beam ct capt mandible,0.00
D0381,26,Cone beam ct capt mandible,0.00
D0382,,Cone beam ct capt maxilla,0.00
D0382,TC,Cone beam ct capt maxilla,0.00
D0382,26,Cone beam ct capt maxilla,0.00
D0383,,Cone beam ct both jaws,0.00
D0383,TC,Cone beam ct both jaws,0.00
D0383,26,Cone beam ct both jaws,0.00
D0384,,Cone beam ct capture tmj,0.00
D0384,TC,Cone beam ct capture tmj,0.00
D0384,26,Cone beam ct capture tmj,0.00
D0385,,Max mri image capture,0.00
D0385,TC,Max mri image capture,0.00
D0385,26,Max mri image capture,0.00
D0386,,Max ultrasound image capture,0.00
D0386,TC,Max ultrasound image capture,0.00
D0386,26,Max ultrasound image capture,0.00
D0387,,Comp image capture only,0.00
D0387,TC,Comp image capture only,0.00
D0387,26,Comp image capture only,0.00
D0388,,Bitewing image capture only,0.00
D0388,TC,Bitewing image capture only,0.00
D0388,26,Bitewing image capture only,0.00
D0389,,Periopic image capture only,0.00
D0389,TC,Periopic image capture only,0.00
D0389,26,Periopic image capture only,0.00
D0391,,Imterprete diagnostic image,0.00
D0391,TC,Imterprete diagnostic image,0.00
D0391,26,Imterprete diagnostic image,0.00
D0393,,Trtmnt simulation 3d image,0.00
D0393,TC,Trtmnt simulation 3d image,0.00
D0393,26,Trtmnt simulation 3d image,0.00
D0394,,Digital sub 2 or more images,0.00
D0394,TC,Digital sub 2 or more images,0.00
D0394,26,Digital sub 2 or more images,0.00
D0395,,Fusion 2 or more 3d images,0.00
D0395,TC,Fusion 2 or more 3d images,0.00
D0395,26,Fusion 2 or more 3d images,0.00
D0396,,3d print of 3d surface scan,0.00
D0411,,Hba1c in office testing,0.00
D0412,,Blood glucose level test,0.00
D0414,,Lab process microbial spec,0.00
D0415,,Collection of microorganisms,0.00
D0416,,Viral culture,0.00
D0417,,Collect & prep saliva sample,0.00
D0418,,Analysis of saliva sample,0.00
D0419,,Assess of salivary flow,0.00
D0422,,Collect & prep genetic samp,0.00
D0423,,Genetic test spec analysis,0.00
D0425,,Caries susceptibility test,0.00
D0431,,Diag tst detect mucos abnorm,0.00
D0460,,Pulp vitality test,0.00
D0470,,Diagnostic casts,0.00
D0472,,"Gross exam, prep & report",0.00
D0473,,"Micro exam, prep & report",0.00
D0474,,Micro w exam of surg margins,0.00
D0475,,Decalcification procedure,0.00
D0475,TC,Decalcification procedure,0.00
D0475,26,Decalcification procedure,0.00
D0476,,Spec stains for microorganis,0.00
D0477,,Spec stains not for microorg,0.00
D0478,,Immunohistochemical stains,0.00
D0478,TC,Immunohistochemical stains,0.00
D0478,26,Immunohistochemical stains,0.00
D0479,,Tissue in-situ hybridization,0.00
D0480,,Cytopath smear prep & report,0.00
D0480,TC,Cytopath smear prep & report,0.00
D0480,26,Cytopath smear prep & report,0.00
D0481,,Electron microscopy,0.00
D0481,TC,Electron microscopy,0.00
D0481,26,Electron microscopy,0.00
D0482,,Direct immunofluorescence,0.00
D0483,,Indirect immunofluorescence,0.00
D0484,,Consult slides prep elsewher,0.00
D0484,TC,Consult slides prep elsewher,0.00
D0484,26,Consult slides prep elsewher,0.00
D0485,,Consult inc prep of slides,0.00
D0485,TC,Consult inc prep of slides,0.00
D0485,26,Consult inc prep of slides,0.00
D0486,,Access of transep cytol samp,0.00
D0502,,Other oral pathology procedu,0.00
D0600,,Non-ionizing diag proc,0.00
D0601,,Caries risk assess low risk,0.00
D0602,,Caries risk assess mod risk,0.00
D0603,,Caries risk assess high risk,0.00
D0604,,Antigen test pub hlth pathog,0.00
D0605,,Antibody test pub hlth path,0.00
D0605,TC,Antibody test pub hlth path,0.00
D0605,26,Antibody test pub hlth path,0.00
D0606,,Molecular test pub hlth path,0.00
D0701,,Pano radio image,0.00
D0701,TC,Pano radio image,0.00
D0701,26,Pano radio image,0.00
D0702,,2d cephal radio image,0.00
D0702,TC,2d cephal radio image,0.00
D0702,26,2d cephal radio image,0.00
D0703,,2d oral/facial photo image,0.00
D0703,TC,2d oral/facial photo image,0.00
D0703,26,2d oral/facial photo image,0.00
D0705,,Extra oral post radio image,0.00
D0705,TC,Extra oral post radio image,0.00
D0705,26,Extra oral post radio image,0.00
D0706,,Intraoral occlus radio image,0.00
D0706,TC,Intraoral occlus radio image,0.00
D0706,26,Intraoral occlus radio image,0.00
D0707,,Intraoral periap radio image,0.00
D0707,TC,Intraoral periap radio image,0.00
D0707,26,Intraoral periap radio image,0.00
D0708,,Intraoral bite radio image,0.00
D0708,TC,Intraoral bite radio image,0.00
D0708,26,Intraoral bite radio image,0.00
D0709,,Intraoral comp image capture,0.00
D0709,TC,Intraoral comp image capture,0.00
D0709,26,Intraoral comp image capture,0.00
D0801,,3d intraoral scan direct,0.00
D0801,TC,3d intraoral scan direct,0.00
D0801,26,3d intraoral scan direct,0.00
D0802,,3d dental scan indirect,0.00
D0802,TC,3d dental scan indirect,0.00
D0802,26,3d dental scan indirect,0.00
D0803,,3d facial scan direct,0.00
D0803,TC,3d facial scan direct,0.00
D0803,26,3d facial scan direct,0.00
D0804,,3d facial scan indirect,0.00
D0804,TC,3d facial scan indirect,0.00
D0804,26,3d facial scan indirect,0.00
D0999,,Unspecified diagnostic proce,0.00
D1110,,Dental prophylaxis adult,0.00
D1120,,Dental prophylaxis child,0.00
D1206,,Topical fluoride varnish,0.00
D1208,,Topical app fluorid ex vrnsh,0.00
D1301,,Immunization counseling,0.00
D1310,,Nutri counsel-control caries,0.00
D1320,,Tobacco counseling,0.00
D1321,,Couns for high risk sub use,0.00
D1330,,Oral hygiene instructions,0.00
D1351,,Dental sealant per tooth,0.00
D1352,,"Prev resin rest, perm tooth",0.00
D1353,,Sealant repair per tooth,0.00
D1354,,Int caries med app per tooth,0.00
D1355,,Caries med app per tooth,0.00
D1510,,Space maintainer fxd unilat,0.00
D1516,,"Fixed bilat space maint, max",0.00
D1517,,"Fixed bilat space maint, man",0.00
D1520,,Remove unilat space maintain,0.00
D1526,,"Remove bilat space main, max",0.00
D1527,,"Remove bilat space main, man",0.00
D1551,,Recement space maint - max,0.00
D1552,,Recement space maint - man,0.00
D1553,,Recement unilat space maint,0.00
D1556,,Rem fixed unilat space maint,0.00
D1557,,Remove fixed bilat maint max,0.00
D1558,,Remove fixed bilat man,0.00
D1575,,"Dist space maint, fixed unil",0.00
D1701,,Pfizer vacc admin 1st dose,0.00
D1702,,Pfizer vacc admin 2nd dose,0.00
D1703,,Moderna vacc admin 1st dose,0.00
D1704,,Moderna vacc admin 2nd dose,0.00
D1705,,Astrazeneca vacc adm 1st dos,0.00
D1706,,Astrazeneca vacc adm 2nd dos,0.00
D1707,,Janssen vaccine admin,0.00
D1708,,Pfizer vacc admin 3rd dose,0.00
D1709,,Pfizer vaccine admin booster,0.00
D1710,,Moderna vacc admin 3rd dose,0.00
D1711,,Moderna vacc admin booster,0.00
D1712,,Janssen vacc admin booster,0.00
D1713,,Pfizer vacc adm ped 1st dose,0.00
D1714,,Pfizer vacc adm ped 2nd dose,0.00
D1781,,Vac admin human pap dose 1,0.00
D1782,,Vac admin human pap dose 2,0.00
D1783,,Vac admin human pap dose 3,0.00
D1999,,Unspecified preventive proc,0.00
D2140,,Amalgam one surface permanen,0.00
D2150,,Amalgam two surfaces permane,0.00
D2160,,Amalgam three surfaces perma,0.00
D2161,,Amalgam 4 or > surfaces perm,0.00
D2330,,Resin one surface-anterior,0.00
D2331,,Resin two surfaces-anterior,0.00
D2332,,Resin three surfaces-anterio,0.00
D2335,,Resin 4/> surf or w incis an,0.00
D2390,,Ant resin-based cmpst crown,0.00
D2391,,Post 1 srfc resinbased cmpst,0.00
D2392,,Post 2 srfc resinbased cmpst,0.00
D2393,,Post 3 srfc resinbased cmpst,0.00
D2394,,Post >=4srfc resinbase cmpst,0.00
D2410,,Dental gold foil one surface,0.00
D2420,,Dental gold foil two surface,0.00
D2430,,Dental gold foil three surfa,0.00
D2510,,Dental inlay metalic 1 surf,0.00
D2520,,Dental inlay metallic 2 surf,0.00
D2530,,Dental inlay metl 3/more sur,0.00
D2542,,Dental onlay metallic 2 surf,0.00
D2543,,Dental onlay metallic 3 surf,0.00
D2544,,Dental onlay metl 4/more sur,0.00
D2610,,Inlay porcelain/ceramic 1 su,0.00
D2620,,Inlay porcelain/ceramic 2 su,0.00
D2630,,Dental onlay porc 3/more sur,0.00
D2642,,Dental onlay porcelin 2 surf,0.00
D2643,,Dental onlay porcelin 3 surf,0.00
D2644,,Dental onlay porc 4/more sur,0.00
D2650,,Inlay composite/resin one su,0.00
D2651,,Inlay composite/resin two su,0.00
D2652,,Dental inlay resin 3/mre sur,0.00
D2662,,Dental onlay resin 2 surface,0.00
D2663,,Dental onlay resin 3 surface,0.00
D2664,,Dental onlay resin 4/mre sur,0.00
D2710,,Crown resin-based indirect,0.00
D2712,,Crown 3/4 resin-based compos,0.00
D2720,,Crown resin w/ high noble me,0.00
D2721,,Crown resin w/ base metal,0.00
D2722,,Crown resin w/ noble metal,0.00
D2740,,Crown porcelain/ceramic,0.00
D2750,,Crown porcelain w/ h noble m,0.00
D2751,,Crown porcelain fused base m,0.00
D2752,,Crown porcelain w/ noble met,0.00
D2753,,Crown porc fused to titanium,0.00
D2780,,Crown 3/4 cast hi noble met,0.00
D2781,,Crown 3/4 cast base metal,0.00
D2782,,Crown 3/4 cast noble metal,0.00
D2783,,Crown 3/4 porcelain/ceramic,0.00
D2790,,Crown full cast high noble m,0.00
D2791,,Crown full cast base metal,0.00
D2792,,Crown full cast noble metal,0.00
D2794,,Crown-titanium,0.00
D2799,,Interim crown,0.00
D2910,,Recement inlay onlay or part,0.00
D2915,,Recement cast or prefab post,0.00
D2920,,Re-cement or re-bond crown,0.00
D2921,,Reattach tooth fragment,0.00
D2928,,Prefab porc/cer crown perm,0.00
D2929,,Prefab porc/ceram crown pri,0.00
D2930,,Prefab stnlss steel crwn pri,0.00
D2931,,Prefab stnlss steel crown pe,0.00
D2932,,Prefabricated resin crown,0.00
D2933,,Prefab stainless steel crown,0.00
D2934,,Prefab steel crown primary,0.00
D2940,,Place direct restoration,0.00
D2949,,Restorative foundation,0.00
D2950,,Core build-up incl any pins,0.00
D2951,,Tooth pin retention,0.00
D2952,,Post and core cast + crown,0.00
D2953,,Each addtnl cast post,0.00
D2954,,Prefab post/core + crown,0.00
D2955,,Post removal,0.00
D2956,,Indirect rest remov,0.00
D2957,,Each addtnl prefab post,0.00
D2960,,Labial veneer resin direct,0.00
D2961,,Labial veneer resin indirect,0.00
D2962,,Labial veneer porc indirect,0.00
D2971,,Add proc construct new crown,0.00
D2975,,Coping,0.00
D2976,,Band stabilization per tooth,0.00
D2980,,Crown repair,0.00
D2981,,Inlay repair,0.00
D2982,,Onlay repair,0.00
D2983,,Veneer repair,0.00
D2989,,Excavate tooth non-restorabl,0.00
D2990,,Resin infiltration of lesion,0.00
D2991,,App of hydroxyapatite,0.00
D2999,,Dental unspec restorative pr,0.00
